Cost Code,Description,Supplier/Subcontractor,Src,Tran Type,Internal Ref,External Ref,PO Number,Quantity,Unit
M231,Drill Bit SDS Plus 5.5x160,Etag UK,PL,PINV,22020395,221782,PO003113,30,EA
M231,"Telescopic Stud Rail 24"" (Caddy Grounds)",Etag UK,PL,PINV,22020413,221763,PO003078,50,EA
M231,"Telescopic Stud Rail 24"" (Caddy Grounds)",Etag UK,PL,PINV,22020413,221763,PO003078,950,EA
M231,Ejot Insulation Screw DDS 7.3 x 150 White 100,VJ Technology Limited,PL,PINV,22020304,INV3141904,PO003122,12,BOX
M231,Ejot DDT70 70mm spreader washer 8.0mm i/d 100,VJ Technology Limited,PL,PINV,22020304,INV3141904,PO003122,100,BOX
M231,Ejot Insulation Screw DDS 7.3 X 125 Beige 100,VJ Technology Limited,PL,PINV,22020304,INV3141904,PO003122,3,BOX
M231,Blade LC1230 305mm Makita,Etag UK,PL,PINV,22020394,221909,PO002906,1,EA
M231,Drill Bit SDS 6 x 260mm,Etag UK,PL,PINV,22020283,222054,PO003146,20,EA
M231,Straight Edge 2.4M Aluminium,Etag UK,PL,PINV,22020283,222054,PO003146,2,PK
M231,Makita Blade 305mm x 25.4mm B-097654,Etag UK,PL,PINV,22020512,221982,PO003113,3,EA
m231,Sympafix pin C70-25 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22020530,222270,PO003162,5,BOX
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22020530,222270,PO003162,5,BOX
m231,Sympafix pin C70-60 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22020530,222270,PO003162,10,BOX
M231,Tape Aluminium Foil 100mm,Etag UK,PL,PINV,22020530,222270,PO003162,50,EA
M231,Site Task Light Defender Slim LED 110V,Etag UK,PL,PINV,22020530,222270,PO003162,5,EA
M231,Ejot Insulation Screw DDS 7.3 X 75 white 100,VJ Technology Limited,PL,PINV,22020327,INV3144352,PO003191,8,BOX
M231,,VJ Technology Limited,PL,PINN,22020476,INV3144936,,0,
M231,Ejot Insulation Screw DDS 7.3 X 75 white 100,Etag UK,PL,PINV,22020303,222594,PO003121,20,BOX
M231,Ejot Insulation Screw DDS 7.3 X 75 white 100,ADA Fast Fix,PL,PINV,22020336,653087,PO003192,2,BOX
M231,"Telescopic Stud Rail 24"" (Caddy Grounds)",Etag UK,PL,PINV,22020555,222643,PO003195,1500,EA
M231,Paint Line Marker Green,ADA Fast Fix,PL,PINV,22020559,653086,PO003175,50,EA
M231,Paint Line Marker Yellow,ADA Fast Fix,PL,PINV,22020559,653086,PO003175,30,EA
M231,Drill Bit SDS Plus 5.5x160,Etag UK,PL,PINV,22030011,222733,PO003210,30,EA
M231,Drill Bit SDS Plus 8 x 210,Etag UK,PL,PINV,22030011,222733,PO003210,20,EA
M231,Torx Bit T30 Stanley,Etag UK,PL,PINV,22030011,222733,PO003210,30,EA
M231,Ejot Insulation Screw DDS 7.3 X 75 white 100,VJ Technology Limited,PL,PINV,22040334,INV3145654,PO003191,4,BOX
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22030051,223239,PO003224,15,BOX
